,p_hat,CI_upper,CI_lower,sample_size
0,0.94162,0.9436751000572616,0.9395648999427384,50.0
1,0.94662,0.948590335633101,0.944649664366899,150.0
2,0.94798,0.9499264706082057,0.9460335293917944,250.0
3,0.9481,0.9500443472987099,0.9461556527012902,350.0
4,0.9496,0.9515175588884048,0.9476824411115952,450.0
5,0.9507,0.9525976158336772,0.9488023841663228,550.0
6,0.94902,0.9509479718427704,0.9470920281572296,650.0
7,0.94952,0.9514389993179853,0.9476010006820148,750.0
8,0.95024,0.9521459869758719,0.948334013024128,850.0
9,0.95,0.9519103365880544,0.9480896634119456,950.0
10,0.94902,0.9509479718427704,0.9470920281572296,1150.0
11,0.9491,0.9510265397169334,0.9471734602830667,1250.0
12,0.9508,0.9526957899941629,0.948904210005837,1350.0
13,0.94924,0.9511640303167554,0.9473159696832445,1450.0
14,0.95198,0.953854079797177,0.9501059202028231,1550.0
15,0.94814,0.9500836388869225,0.9461963611130775,1650.0
16,0.94968,0.9515961171193742,0.9477638828806257,1750.0
17,0.94742,0.9493763414378791,0.945463658562121,1850.0
18,0.95102,0.9529117655147075,0.9491282344852925,1950.0
19,0.95008,0.9519888880761457,0.9481711119238544,2050.0
