,p_hat,CI_upper,CI_lower,sample_size
0,0.9414,0.9460034559948018,0.9367965440051982,50.0
1,0.9451,0.9495645032641488,0.9406354967358513,150.0
2,0.9446,0.9490836008621679,0.9401163991378321,250.0
3,0.946,0.9504298654877584,0.9415701345122415,350.0
4,0.9494,0.9536958386703992,0.9451041613296008,450.0
5,0.9459,0.9503337309583302,0.9414662690416697,550.0
6,0.9491,0.9534078737684163,0.9447921262315838,650.0
7,0.951,0.9552309353526793,0.9467690646473206,750.0
8,0.949,0.953311876221122,0.9446881237788779,850.0
9,0.95,0.9542716424707947,0.9457283575292053,950.0
10,0.9515,0.9557103999963505,0.9472896000036495,1050.0
11,0.9472,0.9515831455961897,0.9428168544038104,1150.0
12,0.9476,0.9519674330931666,0.9432325669068334,1250.0
13,0.9488,0.9531198673337108,0.9444801326662892,1350.0
14,0.9498,0.9540797266608084,0.9455202733391915,1450.0
15,0.9478,0.9521595503184073,0.9434404496815927,1500.0
