,p_hat,CI_upper,CI_lower,num_exp
0,0.95,0.9927164247079471,0.9072835752920528,100.0
1,0.944,0.9725008686953345,0.9154991313046654,250.0
2,0.96,0.9771762637796847,0.9428237362203152,500.0
3,0.948,0.96388997814242,0.93211002185758,750.0
4,0.951,0.9643793923473947,0.9376206076526052,1000.0
5,0.95,0.9610293334335601,0.9389706665664398,1500.0
6,0.954,0.9631809198582533,0.9448190801417466,2000.0
7,0.9532,0.961479288762715,0.944920711237285,2500.0
8,0.9486666666666667,0.9565633371740742,0.9407699961592592,3000.0
9,0.9465714285714286,0.9540217935021561,0.9391210636407011,3500.0
10,0.9455,0.9525347248109941,0.9384652751890059,4000.0
11,0.944,0.9507177191747261,0.9372822808252738,4500.0
12,0.9498,0.955852447486965,0.943747552513035,5000.0
13,0.954,0.9595363029818452,0.9484636970181547,5500.0
14,0.9478333333333333,0.9534597902582596,0.9422068764084071,6000.0
15,0.9495384615384616,0.954859886428308,0.9442170366486151,6500.0
16,0.948,0.9532012162592023,0.9427987837407976,7000.0
17,0.9524,0.957218708210402,0.947581291789598,7500.0
18,0.944625,0.9496367532970239,0.9396132467029762,8000.0
19,0.951764705882353,0.9563196797698289,0.947209731994877,8500.0
20,0.9525555555555556,0.9569475792684229,0.9481635318426883,9000.0
21,0.9502105263157895,0.9545843872907527,0.9458366653408263,9500.0
22,0.9502,0.9544635393482047,0.9459364606517954,10000.0
