,p_hat,CI_upper,CI_lower,sample_size
0,0.9453,0.9497568352781897,0.9408431647218104,50.0
1,0.9483,0.9526397652489812,0.9439602347510189,150.0
2,0.9486,0.9529278401407372,0.9442721598592628,250.0
3,0.945,0.9494683310330096,0.9405316689669903,350.0
4,0.9484,0.9527357947431837,0.9440642052568163,450.0
5,0.9471,0.9514870627398785,0.9427129372601216,550.0
6,0.9496,0.953887792025332,0.945312207974668,650.0
7,0.9526,0.9567647846532674,0.9484352153467326,750.0
8,0.9461,0.9505259957733254,0.9416740042266747,850.0
9,0.9487,0.953023856019085,0.944376143980915,950.0
10,0.9456,0.9500453020175254,0.9411546979824746,1050.0
11,0.9488,0.9531198673337108,0.9444801326662892,1150.0
12,0.9513,0.9555186288660814,0.9470813711339187,1250.0
13,0.9536,0.9577227803979549,0.9494772196020451,1350.0
14,0.9477,0.9520634939260259,0.9433365060739741,1450.0
15,0.9518,0.9559980195850766,0.9476019804149234,1500.0
