,p_hat,CI_upper,CI_lower,sample_size
0,0.9507,0.9549431979992821,0.9464568020007179,50.0
1,0.9479,0.9522556022582495,0.9435443977417505,150.0
2,0.9468,0.9511987880018051,0.9424012119981948,250.0
3,0.9469,0.9512948839310434,0.9425051160689565,350.0
4,0.9503,0.9545594806534377,0.9460405193465624,450.0
5,0.9463,0.9507182435682591,0.941881756431741,550.0
6,0.9487,0.953023856019085,0.944376143980915,650.0
7,0.9524,0.9565731237236328,0.9482268762763673,750.0
8,0.9495,0.9537918176812112,0.9452081823187888,850.0
9,0.951,0.9552309353526793,0.9467690646473206,950.0
10,0.9515,0.9557103999963505,0.9472896000036495,1050.0
11,0.9472,0.9515831455961897,0.9428168544038104,1150.0
12,0.9487,0.953023856019085,0.944376143980915,1250.0
13,0.9503,0.9545594806534377,0.9460405193465624,1350.0
14,0.9495,0.9537918176812112,0.9452081823187888,1450.0
15,0.9465,0.9509104742533837,0.9420895257466163,1500.0
